dstport,protocol,tag
28556,tcp,sv_P2
2611,icmp,email
890,udp,sv_P5
45129,udp,sv_P4
59710,tcp,sv_P4
6611,icmp,sv_P3
7877,udp,email
4046,tcp,sv_P2
4822,udp,sv_P4
26236,icmp,email
32536,tcp,sv_P5
55141,udp,sv_P5
49717,udp,sv_P3
51094,icmp,sv_P4
13429,udp,sv_P3
16111,tcp,sv_P5
47205,icmp,sv_P3
7537,udp,email
10007,tcp,sv_P1
24165,tcp,sv_P1
55588,icmp,sv_P4
2531,tcp,sv_P4
64464,udp,sv_P1
41086,udp,sv_P3
18215,tcp,sv_P4
32759,udp,sv_P4
38689,icmp,sv_P5
385,icmp,sv_P4
56525,icmp,sv_P5
25954,udp,sv_P1
52549,udp,sv_P2
27570,icmp,sv_P3
52425,icmp,sv_P5
28351,icmp,sv_P5
41238,udp,sv_P4
33459,tcp,sv_P2
52773,icmp,sv_P1
51738,udp,sv_P2
12717,udp,sv_P1
11412,udp,sv_P1
31885,icmp,sv_P2
750,tcp,sv_P1
19894,udp,sv_P5
44090,icmp,sv_P3
31128,udp,sv_P5
46337,udp,sv_P2
39867,icmp,sv_P2
14190,icmp,sv_P5
18468,tcp,sv_P2
6094,udp,sv_P5
20098,udp,sv_P3
35853,udp,email
44140,udp,email
24447,udp,sv_P4
60032,udp,sv_P1
32644,udp,sv_P1
54679,icmp,sv_P4
25332,udp,sv_P4
55874,icmp,sv_P4
11108,icmp,sv_P4
36353,tcp,email
8255,icmp,sv_P4
56515,tcp,email
40267,udp,sv_P2
49505,icmp,sv_P1
119,icmp,sv_P5
57758,icmp,sv_P3
16608,icmp,sv_P3
42274,icmp,email
38283,icmp,sv_P1
39573,tcp,sv_P2
56337,icmp,sv_P5
21751,tcp,sv_P5
25586,tcp,sv_P2
37339,tcp,email
24625,icmp,sv_P4
37836,udp,sv_P5
15920,udp,sv_P2
53631,tcp,sv_P4
15097,udp,email
30911,icmp,sv_P3
62074,icmp,sv_P5
5373,icmp,sv_P1
23746,tcp,sv_P2
33068,udp,sv_P5
5778,icmp,sv_P2
30615,udp,sv_P5
21045,udp,email
39040,udp,sv_P3
25673,icmp,sv_P5
23014,tcp,email
753,tcp,email
42423,udp,sv_P4
20546,udp,email
41755,tcp,email
3071,udp,sv_P2
44134,icmp,sv_P1
3708,tcp,sv_P2
54438,udp,sv_P2
52407,tcp,sv_P2
52921,icmp,sv_P2
19640,tcp,email
7374,udp,email
1025,udp,email
33404,tcp,sv_P5
3629,tcp,sv_P2
7429,udp,sv_P4
18998,udp,sv_P5
53939,icmp,email
16849,tcp,sv_P2
56943,tcp,sv_P4
1369,icmp,sv_P4
18477,icmp,sv_P4
47180,icmp,sv_P2
54008,udp,sv_P1
27115,icmp,email
41382,udp,sv_P3
48534,icmp,sv_P4
13099,udp,sv_P4
65215,tcp,sv_P5
27733,udp,sv_P1
35895,tcp,sv_P4
7778,udp,email
60468,icmp,sv_P5
8084,tcp,sv_P5
42440,udp,sv_P1
4986,udp,sv_P2
27976,tcp,sv_P1
57369,udp,sv_P4
27715,udp,email
22964,udp,sv_P5
4961,tcp,email
34686,udp,sv_P3
52838,tcp,sv_P1
53686,icmp,sv_P3
21731,tcp,email
26166,udp,sv_P3
23380,udp,sv_P5
22582,tcp,sv_P3
13441,icmp,sv_P3
51541,tcp,sv_P1
18599,tcp,sv_P2
1236,icmp,email
8130,icmp,sv_P4
48197,tcp,email
2357,icmp,sv_P3
44165,udp,sv_P2
26354,udp,sv_P5
13624,tcp,sv_P1
45229,udp,sv_P2
43388,icmp,sv_P4
6918,tcp,sv_P2
62395,tcp,email
26507,tcp,sv_P4
40081,tcp,email
11457,tcp,email
53804,icmp,sv_P3
41834,udp,email
32694,tcp,sv_P1
32912,tcp,sv_P5
4552,udp,sv_P3
53005,udp,sv_P2
54666,icmp,sv_P3
65085,udp,sv_P5
40547,tcp,sv_P1
65125,tcp,sv_P4
7626,tcp,sv_P1
22663,tcp,sv_P3
55890,icmp,sv_P4
37042,udp,sv_P5
43602,icmp,sv_P5
55076,icmp,email
37384,icmp,email
26164,udp,sv_P4
51502,udp,sv_P4
51645,udp,sv_P3
45051,udp,email
38597,udp,sv_P4
19693,udp,sv_P4
61704,udp,sv_P2
31132,icmp,sv_P3
60012,udp,sv_P3
64383,icmp,sv_P4
41015,tcp,email
53505,tcp,sv_P3
42384,icmp,sv_P3
7290,icmp,sv_P2
57962,tcp,sv_P4
27513,udp,sv_P5
33709,tcp,sv_P2
58491,icmp,email
49741,icmp,sv_P3
43092,icmp,sv_P1
11089,udp,sv_P3
12950,icmp,sv_P4
43255,udp,sv_P4
17699,udp,email
20412,tcp,email
51365,udp,sv_P3
27778,icmp,sv_P3
12456,tcp,sv_P5
31617,udp,email
13665,udp,email
57214,icmp,sv_P1
6935,icmp,sv_P2
60699,udp,sv_P2
30021,icmp,email
27746,udp,sv_P3
9090,udp,sv_P4
58892,udp,sv_P1
51650,tcp,sv_P5
17394,tcp,sv_P1
25675,udp,sv_P3
45727,icmp,sv_P4
33680,tcp,sv_P1
26796,tcp,sv_P4
43637,udp,sv_P5
49668,tcp,sv_P3
55783,udp,email
8500,udp,sv_P4
40594,tcp,sv_P4
16160,udp,sv_P1
1543,tcp,sv_P5
41966,tcp,email
27070,icmp,sv_P2
62871,icmp,sv_P1
54720,tcp,sv_P3
36198,icmp,email
55978,tcp,sv_P2
7193,tcp,sv_P2
