Port,Protocol,Count
41026,tcp,2
52523,other,6
21114,other,2
55884,udp,4
63211,tcp,2
11348,other,2
42757,other,3
36859,udp,1
61165,tcp,3
60051,tcp,4
17037,udp,4
47166,tcp,4
52904,udp,2
1231,tcp,1
19266,tcp,3
49212,tcp,5
46052,tcp,3
27027,tcp,3
38905,udp,3
12059,tcp,2
3711,udp,4
22823,udp,3
11069,other,4
33927,tcp,2
42478,other,3
10353,udp,2
823,other,2
64011,other,2
17282,other,2
28963,udp,2
50858,udp,3
31084,tcp,3
42962,udp,3
40482,tcp,1
19928,tcp,2
23937,udp,1
58805,other,2
15908,other,2
37255,other,3
9986,udp,2
38953,tcp,3
20343,tcp,5
52952,tcp,2
48691,other,1
61599,udp,4
18814,tcp,3
43391,other,6
12582,tcp,5
34551,other,4
23275,udp,1
16768,tcp,3
45460,udp,4
5189,udp,1
46486,udp,2
12881,udp,1
58382,udp,4
26435,udp,2
51538,tcp,3
46108,other,1
7253,other,1
5531,other,1
17560,udp,3
55450,tcp,5
64097,udp,3
89,udp,2
59636,tcp,2
22871,tcp,2
32901,tcp,5
46714,tcp,2
12261,other,3
34272,other,1
56897,other,5
1665,udp,4
47118,udp,2
43670,other,5
56516,udp,4
60003,udp,2
7235,udp,6
22784,other,1
33130,tcp,1
60729,other,2
49673,other,2
50771,tcp,3
9552,tcp,2
57108,tcp,1
23503,tcp,1
13648,udp,1
21980,tcp,3
57544,other,2
16369,other,6
7283,tcp,3
34108,udp,2
37088,udp,3
47778,other,9
38237,other,2
8397,tcp,3
38590,udp,2
39134,udp,3
45823,tcp,2
15080,tcp,4
60936,tcp,4
60350,udp,4
11607,tcp,2
43777,tcp,3
53719,tcp,4
10716,tcp,2
16821,other,2
59496,udp,1
51876,other,1
11943,other,2
44668,tcp,4
62754,udp,1
14539,udp,1
20467,other,3
53356,udp,7
49694,tcp,2
65086,other,3
39357,udp,4
34156,tcp,4
48755,udp,2
59859,tcp,9
62008,udp,5
37919,other,3
7588,other,2
43554,tcp,6
61921,other,1
55227,other,2
29555,tcp,2
26136,tcp,3
48321,tcp,5
3934,udp,3
30512,other,3
61117,udp,1
33359,other,2
4270,other,2
56564,tcp,2
1888,udp,5
29713,other,5
58610,tcp,1
48532,udp,4
56775,udp,2
64102,tcp,1
30193,tcp,3
34379,tcp,1
47300,other,3
50424,tcp,1
60660,other,4
43191,udp,6
33811,other,4
57823,other,2
64800,udp,1
61642,other,3
55402,udp,4
54245,other,3
28664,tcp,1
46004,udp,2
30807,udp,2
18375,tcp,3
58821,udp,1
21409,udp,3
51315,tcp,2
45600,tcp,1
54247,udp,2
20642,udp,4
60713,tcp,3
47021,other,4
63645,udp,3
50061,udp,3
36937,other,2
36202,tcp,2
11244,udp,5
64768,other,3
59983,tcp,1
64536,udp,4
50280,other,3
19804,other,3
46227,udp,2
26694,udp,1
65252,udp,2
30655,other,2
40921,tcp,3
35534,tcp,1
23714,udp,1
28740,udp,4
22612,tcp,1
63422,udp,6
4602,udp,1
43067,udp,4
20566,tcp,5
13772,udp,2
61376,udp,3
29068,udp,2
2556,udp,3
7582,udp,1
11013,other,4
45113,udp,6
61604,tcp,1
47356,other,2
41249,tcp,1
57491,udp,2
60274,tcp,4
3357,other,3
8126,udp,4
4650,tcp,3
23762,tcp,1
30508,tcp,6
21728,other,5
8661,tcp,1
25544,udp,1
40135,tcp,1
36501,udp,1
21668,udp,2
28731,other,3
16146,udp,2
44652,other,2
20518,udp,2
33216,other,1
3500,tcp,2
50647,tcp,3
7024,tcp,2
10130,udp,1
55625,udp,1
3148,tcp,1
51749,udp,2
